id foto,negras,blancas,total,Predicho,Precisión,Obs
UR266296512,13,740,753,775,102.9216467,blanca
UR266296537,389,503,892,805,90.24663677,Marron
UR266296583,120,617,737,741,100.5427408,blanca
UR266296584,300,274,574,573,99.82578397,negra
UR283773175,438,192,630,463,73.49206349,Marron
UR283773186,594,378,972,705,72.5308642,negra
UR283773871,403,730,1133,1020,90.02647838,blanca
UR283773874,456,241,697,1045,149.928264,Marron
UR283773886_Foto_1,303,655,Volver a contar,,,
UR283773886_Foto_2,363,398,761,506,66.49145861,blanca
UR283774872,182,331,513,647,126.1208577,negra
UR283774877,560,218,778,1142,146.7866324,negra
UR283774970,215,712,927,677,73.03128371,blanca
UR283775824,512,699,1211,998,82.41123039,blanca
UR283776009,489,420,909,955,105.0605061,negra
UR283776034,655,423,1078,1062,98.51576994,Marron
UR283776035,0,153,153,528,345.0980392,blanca
UR283776067,355,663,1018,1194,117.2888016,negra
UR283776094,491,396,887,1149,129.5377678,negra

UR283775890,253,818,1071,752,70.21475257,Marron