Numero de capitulo,Numero de granos,,Color Semilla
2024 P3,245,ok,Marrón
2019 P1,511,NO se puede analizar,
2019 P3,756,NO se puede analizar,
2009 P3,289,NO se puede analizar,
2016 P1,672,NO se puede analizar,
2023 P3,421,ok,Negro
2016 P3,705,NO se puede analizar,
2012 P3,179,NO se puede analizar,
2011 P2,563,NO se puede analizar,
2006 P1,660,NO se puede analizar,
2006 P3,539,NO se puede analizar,
2007 P2,488,NO se puede analizar,
1027 P1,234,ok,Marrón
1028 P1,348,NO se puede analizar,
2008 P1,563,NO se puede analizar,
1004 P2,497,NO se puede analizar,
2003 P2,511,NO se puede analizar,
1003 P2,316,NO se puede analizar,
1002 P1,728,ok,Negro
2001 P3,698,ok,Blanco
1025 P2,746,ok,Negro
2004 P1,157,NO se puede analizar,
2024 A3,89,NO se puede analizar,
2012 A3,283,NO se puede analizar,
2011 A2,127,NO se puede analizar,
1027 A1,97,NO se puede analizar,
1004 A2,61,NO se puede analizar,
1003 A2,113,NO se puede analizar,
1002 A1,192,NO se puede analizar,
2001 A3,149,NO se puede analizar,
1025 A2,139,NO se puede analizar,